JULIO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,_sheet,_row_number,_imported_at
,,,,,,,,,2026-Julio.Septiembre,146,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE SEPTIEMBRE  (MICE + F & B),,,,,,,,,2026-Julio.Septiembre,147,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Julio.Septiembre,148,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,2026,,2026-Julio.Septiembre,149,2026-01-12T10:12:30.821139
SALAS,,4359.21,4177.69,4760.97,4991.74,5784.5,,,2026-Julio.Septiembre,150,2026-01-12T10:12:30.821139
AUDIOS,,157.02,123.97,247.93,220.04,1277.47,,,2026-Julio.Septiembre,151,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,16193.64,10205.27,11732.95,11125.32,0,,,2026-Julio.Septiembre,152,2026-01-12T10:12:30.821139
BANQUETES,,1363.64,4064.73,2832.73,0,3417.73,,,2026-Julio.Septiembre,153,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,3420.6,10516.18,16280.79,14217.97,16189.1,,,2026-Julio.Septiembre,154,2026-01-12T10:12:30.821139
COFFEE-BREAK,,81.82,199.09,1107.95,208.73,3238.41,,,2026-Julio.Septiembre,155,2026-01-12T10:12:30.821139
ROOM-SERVICE,,3969.28,1924.53,1911.09,2010.74,1480.4,,,2026-Julio.Septiembre,156,2026-01-12T10:12:30.821139
DESAYUNO,,38561.48,48279.1,64007.83,47616.19,48303.35,,,2026-Julio.Septiembre,157,2026-01-12T10:12:30.821139
MINIBAR,,1765,2163.64,2127.27,1721.66,1716.83,,,2026-Julio.Septiembre,158,2026-01-12T10:12:30.821139
BAR,,5768.32,1924.64,1916.34,1730.07,8519.11,,,2026-Julio.Septiembre,159,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Julio.Septiembre,160,2026-01-12T10:12:30.821139
,TOTAL,75640.01000000001,83578.84,106925.84999999999,83842.46000000002,89926.90000000001,,,2026-Julio.Septiembre,161,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Julio.Septiembre,162,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,14286.89,,,,,,2026-Julio.Septiembre,163,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,6348.060000000012,,,,,,2026-Julio.Septiembre,164,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,-16998.949999999983,,,,,,2026-Julio.Septiembre,165,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,6084.439999999988,,,,,,2026-Julio.Septiembre,166,2026-01-12T10:12:30.821139
,,Diferencia (2025-2026):,-89926.90000000001,,,,,,2026-Julio.Septiembre,167,2026-01-12T10:12:30.821139
