ENERO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,Unnamed: 9,_sheet,_row_number,_imported_at
,,,,,,,,,,2025-ENERO.MARZO,147,2026-01-12T10:12:30.821139
,,,,,,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,2025-ENERO.MARZO,148,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE MARZO  (MICE + F & B),,,,,,,MES DE MARZO,,,2025-ENERO.MARZO,149,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-ENERO.MARZO,150,2026-01-12T10:12:30.821139
,2019,2022,2023,2024,2025,Ejercicio    2019,169734.6,,,2025-ENERO.MARZO,151,2026-01-12T10:12:30.821139
SALAS,5125.62,3763.64,2686.36,3955.58,2707.64,Ejercicio    2020,36562.15,,,2025-ENERO.MARZO,152,2026-01-12T10:12:30.821139
AUDIOS,99.17,181.82,285.12,570.25,258.47,Ejercicio    2021,0,,,2025-ENERO.MARZO,153,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,21437.28,11895.91,11896.18,18730.39,727.73,Ejercicio    2022,159111.65,,,2025-ENERO.MARZO,154,2026-01-12T10:12:30.821139
BANQUETES,3181.18,354.55,1399.82,7100.68,412.27,Ejercicio    2023,155344.29,,,2025-ENERO.MARZO,155,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,5964.78,1160.41,0,694.55,14115.82,Ejercicio    2024,190421.29,,,2025-ENERO.MARZO,156,2026-01-12T10:12:30.821139
COFFEE-BREAK,753.75,0,636.36,977.95,184.09,Ejercicio    2025,239657.39,,,2025-ENERO.MARZO,157,2026-01-12T10:12:30.821139
ROOM-SERVICE,3551.03,1667.2,1579.3,1478.92,793.11,,,Diferencia (2019-2025):,69922.79000000001,2025-ENERO.MARZO,158,2026-01-12T10:12:30.821139
DESAYUNO,32361.91,23782.55,35392.24,30771.83,33823.54,,,Diferencia (2020-2025):,203095.24000000002,2025-ENERO.MARZO,159,2026-01-12T10:12:30.821139
MINIBAR,1797.73,1579.55,1722.55,1665.73,1962.96,,,Diferencia (2021-2025):,239657.39,2025-ENERO.MARZO,160,2026-01-12T10:12:30.821139
BAR,4292.91,1254.55,1157.06,1809.71,6133.04,,,Diferencia (2022-2025):,80545.74000000002,2025-ENERO.MARZO,161,2026-01-12T10:12:30.821139
,,,,,,,,Diferencia (2023-2025):,84313.1,2025-ENERO.MARZO,162,2026-01-12T10:12:30.821139
TOTAL,78565.36,45640.18000000001,56754.99,67755.59000000001,61118.67,,,Diferencia (2024-2025):,49236.100000000006,2025-ENERO.MARZO,163,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-ENERO.MARZO,164,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-17446.690000000002,,,,,,,2025-ENERO.MARZO,165,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,15478.48999999999,,,,,,,2025-ENERO.MARZO,166,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,4363.68,,,,,,,2025-ENERO.MARZO,167,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-6636.920000000013,,,,,,,2025-ENERO.MARZO,168,2026-01-12T10:12:30.821139
