Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,_sheet,_row_number,_imported_at
Ejercicio    2025,520166.03,,,Ejercicio    2025,589628.93,,,Ejercicio    2025,443673.96,,,ALOJAMIENTO COMP. 2026,69,2026-01-12T10:12:30.821139
Ejercicio    2026,22459.68,,,Ejercicio    2026,24140.25,,,Ejercicio    2026,103915.04,,,ALOJAMIENTO COMP. 2026,70,2026-01-12T10:12:30.821139
,,,,,Diferencia (2019-2025):,205477.34000000003,,,Diferencia (2019-2025):,132346.27000000002,,ALOJAMIENTO COMP. 2026,71,2026-01-12T10:12:30.821139
,,,,,Diferencia (2020-2025):,589327.78,,,Diferencia (2020-2025):,390006.94,,ALOJAMIENTO COMP. 2026,72,2026-01-12T10:12:30.821139
,Diferencia (2019-2025):,185824.51,,,Diferencia (2021-2025):,147956.06000000006,,,Diferencia (2021-2025):,218938.62000000002,,ALOJAMIENTO COMP. 2026,73,2026-01-12T10:12:30.821139
,Diferencia (2020-2025):,520166.03,,,Diferencia (2022-2025):,32374.630000000005,,,Diferencia (2022-2025):,122374.70000000001,,ALOJAMIENTO COMP. 2026,74,2026-01-12T10:12:30.821139
,Diferencia (2021-2025):,312350.47000000003,,,Diferencia (2023-2025):,22482.340000000084,,,Diferencia (2023-2025):,73627.54000000004,,ALOJAMIENTO COMP. 2026,75,2026-01-12T10:12:30.821139
,Diferencia (2022-2025):,114913.33000000002,,,Diferencia (2024-2025):,24698.400000000023,,,Diferencia (2024-2025):,57540.369999999995,,ALOJAMIENTO COMP. 2026,76,2026-01-12T10:12:30.821139
,Diferencia (2023-2025):,79512.89000000001,,,Diferencia (2025-2026):,-565488.68,,,Diferencia (2025-2026):,-339758.92000000004,,ALOJAMIENTO COMP. 2026,77,2026-01-12T10:12:30.821139
,Diferencia (2024-2025):,64402.80000000005,,,,,,,,,,ALOJAMIENTO COMP. 2026,78,2026-01-12T10:12:30.821139
,Diferencia (2025-2026):,-497706.35000000003,,,,,,,,,,ALOJAMIENTO COMP. 2026,79,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,80,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,81,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,82,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,83,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,84,2026-01-12T10:12:30.821139
PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,,,,,,ALOJAMIENTO COMP. 2026,85,2026-01-12T10:12:30.821139
,MES DE OCTUBRE,,,,MES DE NOVIEMBRE,,,,,,,ALOJAMIENTO COMP. 2026,86,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,87,2026-01-12T10:12:30.821139
,,,,,,,,,,,,ALOJAMIENTO COMP. 2026,88,2026-01-12T10:12:30.821139
Ejercicio    2019,301420.67,,,Ejercicio    2019,202994.18,,,,,,,ALOJAMIENTO COMP. 2026,89,2026-01-12T10:12:30.821139
Ejercicio    2020,38282.86,,,Ejercicio    2020,3322.4,,,,,,,ALOJAMIENTO COMP. 2026,90,2026-01-12T10:12:30.821139
Ejercicio    2021,227138.06,,,Ejercicio    2021,215609.83,,,,,,,ALOJAMIENTO COMP. 2026,91,2026-01-12T10:12:30.821139
Ejercicio    2022,271775.34,,,Ejercicio    2022,273858.66,,,,,,,ALOJAMIENTO COMP. 2026,92,2026-01-12T10:12:30.821139
Ejercicio    2023,358490.32,,,Ejercicio    2023,305965.53,,,,,,,ALOJAMIENTO COMP. 2026,93,2026-01-12T10:12:30.821139
Ejercicio    2024,322142.05,,,Ejercicio    2024,253845.66,,,,,,,ALOJAMIENTO COMP. 2026,94,2026-01-12T10:12:30.821139
Ejercicio    2025,395286.16,,,Ejercicio    2025,316199.25,,,,,,,ALOJAMIENTO COMP. 2026,95,2026-01-12T10:12:30.821139
Ejercicio    2026,53590.79,,,Ejercicio    2026, ,,,,,,,ALOJAMIENTO COMP. 2026,96,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,93865.48999999999,,,Diferencia (2019-2025):,113205.07,,,,,ALOJAMIENTO COMP. 2026,97,2026-01-12T10:12:30.821139
,,Diferencia (2020-2025):,357003.3,,,Diferencia (2020-2025):,312876.85,,,,,ALOJAMIENTO COMP. 2026,98,2026-01-12T10:12:30.821139
,,Diferencia (2021-2025):,168148.09999999998,,,Diferencia (2021-2025):,100589.42000000001,,,,,ALOJAMIENTO COMP. 2026,99,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,123510.81999999995,,,Diferencia (2022-2025):,42340.590000000026,,,,,ALOJAMIENTO COMP. 2026,100,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,36795.83999999997,,,Diferencia (2023-2025):,10233.719999999972,,,,,ALOJAMIENTO COMP. 2026,101,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,73144.10999999999,,,Diferencia (2024-2025):,62353.59,,,,,ALOJAMIENTO COMP. 2026,102,2026-01-12T10:12:30.821139
,,Diferencia (2025-2026):,-341695.37,,,Diferencia (2025-2026):,,,,,,ALOJAMIENTO COMP. 2026,103,2026-01-12T10:12:30.821139
