ABRIL,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,_sheet,_row_number,_imported_at
PRODUCCION NETA  ACUMULADA MES DE MAYO  (MICE + F & B),,,,,,,,,2026-Abril.Junio,123,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,124,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,2026,,2026-Abril.Junio,125,2026-01-12T10:12:30.821139
SALAS,,2994.11,3648.76,3041.32,5208.68,3697.73,,,2026-Abril.Junio,126,2026-01-12T10:12:30.821139
AUDIOS,,429.75,2891.16,0,247.93,1227.48,,,2026-Abril.Junio,127,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,18839.09,10209.55,14425.91,13882.35,371.09,,,2026-Abril.Junio,128,2026-01-12T10:12:30.821139
BANQUETES,,12942.73,5320.91,11200,9669.32,11430.23,,,2026-Abril.Junio,129,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,4396.5,11407.08,6954.12,19412.37,6861.64,,,2026-Abril.Junio,130,2026-01-12T10:12:30.821139
COFFEE-BREAK,,898.55,1015,6548.18,3437.27,2354.73,,,2026-Abril.Junio,131,2026-01-12T10:12:30.821139
ROOM-SERVICE,,3867.83,1349.75,1406.67,1276.87,921.88,,,2026-Abril.Junio,132,2026-01-12T10:12:30.821139
DESAYUNO,,36730.08,32027.09,51088.37,52993.44,42038.51,,,2026-Abril.Junio,133,2026-01-12T10:12:30.821139
MINIBAR,,1545.45,1462.73,1904.55,2048.56,1735.91,,,2026-Abril.Junio,134,2026-01-12T10:12:30.821139
BAR,,4139.55,2003.23,3559.09,3149.36,5214.5,,,2026-Abril.Junio,135,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,136,2026-01-12T10:12:30.821139
,TOTAL,86783.64,71335.26,100128.21,111326.15,75853.70000000001,,,2026-Abril.Junio,137,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,138,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-10929.939999999988,,,,,,2026-Abril.Junio,139,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,4518.440000000017,,,,,,2026-Abril.Junio,140,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,-24274.509999999995,,,,,,2026-Abril.Junio,141,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-35472.44999999998,,,,,,2026-Abril.Junio,142,2026-01-12T10:12:30.821139
,,Diferencia (2025-2026):,-75853.70000000001,,,,,,2026-Abril.Junio,143,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,144,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,145,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE JUNIO  (MICE + F & B),,,,,,,,,2026-Abril.Junio,146,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,147,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,2026,,2026-Abril.Junio,148,2026-01-12T10:12:30.821139
SALAS,,4875.62,3358.26,6188.84,4990.5,5793.8,,,2026-Abril.Junio,149,2026-01-12T10:12:30.821139
AUDIOS,,896.69,99.17,702.48,1131.82,958.68,,,2026-Abril.Junio,150,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,22642.73,8940.82,11300.81,10923.8,0,,,2026-Abril.Junio,151,2026-01-12T10:12:30.821139
BANQUETES,,17647.73,6008,11932.64,21918.18,7182.95,,,2026-Abril.Junio,152,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,5242,19401.55,13733.42,7222.53,16402.23,,,2026-Abril.Junio,153,2026-01-12T10:12:30.821139
COFFEE-BREAK,,2489.05,1024.55,1725.91,1094.8,455.14,,,2026-Abril.Junio,154,2026-01-12T10:12:30.821139
ROOM-SERVICE,,3195.75,1595.08,1492.09,1800.8,1600.48,,,2026-Abril.Junio,155,2026-01-12T10:12:30.821139
DESAYUNO,,36469.02,36899.26,53887.65,46491.03,42978.72,,,2026-Abril.Junio,156,2026-01-12T10:12:30.821139
MINIBAR,,1738.64,1965.91,2090.91,2054.01,1465.69,,,2026-Abril.Junio,157,2026-01-12T10:12:30.821139
BAR,,4837.73,1674.09,1881,1591.69,6168.24,,,2026-Abril.Junio,158,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,159,2026-01-12T10:12:30.821139
,TOTAL,100034.96,80966.69,104935.75,99219.16,83005.93000000001,,,2026-Abril.Junio,160,2026-01-12T10:12:30.821139
,,,,,,,,,2026-Abril.Junio,161,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-17029.03,,,,,,2026-Abril.Junio,162,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,2039.2400000000052,,,,,,2026-Abril.Junio,163,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,-21929.819999999992,,,,,,2026-Abril.Junio,164,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-16213.229999999996,,,,,,2026-Abril.Junio,165,2026-01-12T10:12:30.821139
,,Diferencia (2025-2026):,-83005.93000000001,,,,,,2026-Abril.Junio,166,2026-01-12T10:12:30.821139
