ABRIL,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,Unnamed: 9,Unnamed: 10,_sheet,_row_number,_imported_at
SALAS,,4875.62,3358.26,6188.84,4990.5,5793.8,,MES DE JUNIO,,,2025-ABRIL.JUNIO,146,2026-01-12T10:12:30.821139
AUDIOS,,896.69,99.17,702.48,1131.82,958.68,,,,,2025-ABRIL.JUNIO,147,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,22642.73,8940.82,11300.81,10923.8,0,,,,,2025-ABRIL.JUNIO,148,2026-01-12T10:12:30.821139
BANQUETES,,17647.73,6008,11932.64,21918.18,7182.95,Ejercicio    2019,248371.84,,,2025-ABRIL.JUNIO,149,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,5242,19401.55,13733.42,7222.53,16402.23,Ejercicio    2020,-73.66,,,2025-ABRIL.JUNIO,150,2026-01-12T10:12:30.821139
COFFEE-BREAK,,2489.05,1024.55,1725.91,1094.8,455.14,Ejercicio    2021,129243.96,,,2025-ABRIL.JUNIO,151,2026-01-12T10:12:30.821139
ROOM-SERVICE,,3195.75,1595.08,1492.09,1800.8,1600.48,Ejercicio    2022,268725.54,,,2025-ABRIL.JUNIO,152,2026-01-12T10:12:30.821139
DESAYUNO,,36469.02,36899.26,53887.65,46491.03,42978.72,Ejercicio    2023,373140.06,,,2025-ABRIL.JUNIO,153,2026-01-12T10:12:30.821139
MINIBAR,,1738.64,1965.91,2090.91,2054.01,1465.69,Ejercicio    2024,400695.99,,,2025-ABRIL.JUNIO,154,2026-01-12T10:12:30.821139
BAR,,4837.73,1674.09,1881,1591.69,6168.24,Ejercicio    2025,389446.19,,,2025-ABRIL.JUNIO,155,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-ABRIL.JUNIO,156,2026-01-12T10:12:30.821139
,TOTAL,100034.96,80966.69,104935.75,99219.16,83005.93000000001,,,,,2025-ABRIL.JUNIO,157,2026-01-12T10:12:30.821139
,,,,,,,,,,,2025-ABRIL.JUNIO,158,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-17029.03,,,,,,,,2025-ABRIL.JUNIO,159,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,2039.2400000000052,,,,,,Diferencia (2019-2025):,141074.35,2025-ABRIL.JUNIO,160,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,-21929.819999999992,,,,,,Diferencia (2020-2025):,389519.85,2025-ABRIL.JUNIO,161,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-16213.229999999996,,,,,,Diferencia (2021-2025):,260202.22999999998,2025-ABRIL.JUNIO,162,2026-01-12T10:12:30.821139
,,,,,,,,,Diferencia (2022-2025):,120720.65000000002,2025-ABRIL.JUNIO,163,2026-01-12T10:12:30.821139
,,,,,,,,,Diferencia (2023-2025):,16306.130000000005,2025-ABRIL.JUNIO,164,2026-01-12T10:12:30.821139
,,,,,,,,,Diferencia (2024-2025):,-11249.799999999988,2025-ABRIL.JUNIO,165,2026-01-12T10:12:30.821139
